"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"67861","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/183323","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","05-Jun-2025","MS CHANDRA BHUSHAN","Payment Success","500000"
"67862","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/183320","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","05-Jun-2025","MS CHANDRA BHUSHAN","Payment Success","400000"
"67863","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/183327","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","05-Jun-2025","MS CHANDRA BHUSHAN","Payment Success","400000"
"67864","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/183330","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","05-Jun-2025","MS CHANDRA BHUSHAN","Payment Success","500000"
"67865","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/183331","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","05-Jun-2025","MS CHANDRA BHUSHAN","Payment Success","500000"
"67866","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/183332","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","11-May-2026","MS CHANDRA BHUSHAN","Payment Success","300000"
"67867","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/241562","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","11-May-2026","MS CHANDRA BHUSHAN","Payment Success","400000"
"67868","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/249589","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","11-May-2026","MS CHANDRA BHUSHAN","Payment Success","500000"
"67869","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/249593","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","11-May-2026","MS CHANDRA BHUSHAN","Payment Success","300000"
"67870","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/183322","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","04-Nov-2025","MS CHANDRA BHUSHAN","Payment Success","300000"
"67871","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/183321","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","04-Nov-2025","MS CHANDRA BHUSHAN","Payment Success","400000"
"67872","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/223676","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","07-Nov-2025","MS CHANDRA BHUSHAN","Payment Success","300000"
"67873","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2025-2026/225350","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","08-May-2026","Yashika Construction Co","Payment Success","354000"
"67874","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/170238","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","07-Aug-2026","EMF","Payment Success","79"
"67875","Odisha","Construction of buildings for community cultural activities","WS/MP18148/2025-2026/170270","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","05-Aug-2026","EMF","Payment Success","220"
"67876","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/177748","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","28-Nov-2025","EMF","Payment Success","420"
"67877","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/177750","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","16-Dec-2025","EMF","Payment Success","332"
"67878","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173455","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","28-Nov-2025","EMF","Payment Success","341"
"67879","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173454","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","26-Jun-2025","EMF","Payment Success","298"
"67880","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/172636","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","25-Sep-2025","EMF","Payment Success","287"
"67881","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/172637","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","25-Sep-2025","EMF","Payment Success","321"
"67882","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/157689","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","20-Jun-2026","EMF","Payment Success","17"
"67883","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/157689","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","26-Feb-2026","EMF","Payment Success","116"
"67884","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173457","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","06-Jun-2025","EMF","Payment Success","289"
"67885","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173918","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","09-Jan-2026","EMF","Payment Success","260"
"67886","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173919","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","18-Jun-2026","EMF","Payment Success","20"
"67887","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173897","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","08-Jan-2026","EMF","Payment Success","252"
"67888","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173917","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","09-Jan-2026","EMF","Payment Success","309"
"67889","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173915","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","09-Jan-2026","EMF","Payment Success","300"
"67890","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173899","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","13-Jan-2026","EMF","Payment Success","213"
"67891","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173898","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","01-Aug-2026","EMF","Payment Success","230"
"67892","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/250794","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","01-Aug-2026","EMF","Payment Success","324"
"67893","Odisha","Construction of public staircase/ stair ghat for public convenience","WS/MP18146/2025-2026/173925","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","23-Mar-2026","EMF","Payment Success","260"
"67894","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173900","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","23-Mar-2026","EMF","Payment Success","281"
"67895","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/187255","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","19-May-2026","EMF","Payment Success","61"
"67896","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/187255","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","19-Dec-2025","EMF","Payment Success","13"
"67897","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173484","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","25-Nov-2025","EMF","Payment Success","5"
"67898","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173693","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","25-Nov-2025","EMF","Payment Success","201"
"67899","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173491","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","01-Jan-2026","EMF","Payment Success","92"
"67900","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173495","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","09-Mar-2026","EMF","Payment Success","85"
"67901","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173485","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","22-Oct-2025","EMF","Payment Success","78"
"67902","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173490","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","12-Nov-2025","EMF","Payment Success","75"
"67903","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/173488","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","20-Jul-2026","EMF","Payment Success","136"
"67904","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/165979","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","24-Nov-2025","EMF","Payment Success","429"
"67905","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/199515","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","12-Mar-2026","EMF","Payment Success","190"
"67906","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/190824","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","22-Jan-2026","EMF","Payment Success","269"
"67907","Odisha","Construction of public libraries and reading rooms","WS/MP300/2024-2025/157080","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","16-Jan-2026","EMF","Payment Success","111"
"67908","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/157039","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","13-May-2026","EMF","Payment Success","276"
"67909","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP300/2024-2025/160905","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","18-May-2026","EMF","Payment Success","226"
"67910","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/199511","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","18-Jul-2026","EMF","Payment Success","14"
"67911","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/157042","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","10-Apr-2026","EMF","Payment Success","173"
"67912","Odisha","Installing community drinking water plants","WS/MP300/2024-2025/179265","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","24-Apr-2026","EMF","Payment Success","9"
"67913","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/190826","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","18-Jul-2026","EMF","Payment Success","33"
"67914","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/190826","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","04-Feb-2026","EMF","Payment Success","414"
"67915","Odisha","Construction of public libraries and reading rooms","WS/MP300/2024-2025/157103","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","04-Oct-2025","EMF","Payment Success","284"
"67916","Odisha","Construction of community centers and community halls","WS/MP300/2024-2025/160881","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","26-Sep-2025","EMF","Payment Success","106"
"67917","Odisha","Installing community drinking water plants","WS/MP300/2024-2025/179268","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","30-Jun-2026","EMF","Payment Success","3"
"67918","Odisha","Construction of public libraries and reading rooms","WS/MP300/2024-2025/157044","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","23-Jun-2026","EMF","Payment Success","209"
"67919","Odisha","Installing community drinking water plants","WS/MP300/2024-2025/179266","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","20-Jun-2026","EMF","Payment Success","9"
"67920","Odisha","Installing community drinking water plants","WS/MP300/2024-2025/179267","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","20-Jun-2026","EMF","Payment Success","9"
"67921","Odisha","Installing community drinking water plants","WS/MP300/2024-2025/179262","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","25-May-2026","EMF","Payment Success","3"
"67922","Odisha","Installing community drinking water plants","WS/MP300/2024-2025/179263","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","25-May-2026","EMF","Payment Success","3"
"67923","Odisha","Construction of public libraries and reading rooms","WS/MP300/2024-2025/157045","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","23-Mar-2026","EMF","Payment Success","219"
"67924","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP372/2025-2026/185710","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","23-Sep-2025","EMF","Payment Success","92"
"67925","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP372/2025-2026/186034","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","10-Dec-2025","EMF","Payment Success","207"
"67926","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/185708","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","23-Sep-2025","EMF","Payment Success","2"
"67927","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP372/2025-2026/186026","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","23-Sep-2025","EMF","Payment Success","223"
"67928","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/186032","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","05-Aug-2026","EMF","Payment Success","119"
"67929","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/185716","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","27-Feb-2026","EMF","Payment Success","55"
"67930","Odisha","Construction of rooms and halls in school and colleges","WS/MP372/2025-2026/186018","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","02-Apr-2026","EMF","Payment Success","31"
"67931","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP372/2025-2026/185717","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","25-Mar-2026","EMF","Payment Success","128"
"67932","Odisha","Construction of buildings for community cultural activities","WS/MP372/2025-2026/186019","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","19-Aug-2026","EMF","Payment Success","215"
"67933","Odisha","Construction of rooms and halls in school and colleges","WS/MP372/2025-2026/186027","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","29-Jun-2026","EMF","Payment Success","6"
"67934","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP372/2025-2026/186020","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","10-Dec-2025","EMF","Payment Success","230"
"67935","Odisha","Development of playfields and sports grounds","WS/MP372/2025-2026/185719","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","26-Feb-2026","EMF","Payment Success","58"
"67936","Odisha","Construction of rooms and halls in school and colleges","WS/MP372/2025-2026/186025","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Bhartruhari Mahtab","CUTTACK","27-May-2026","EMF","Payment Success","196"
"67937","Odisha","Construction of public libraries and reading rooms","WS/MP300/2026-2027/199505","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","06-Aug-2026","EMF","Payment Success","249"
"67938","Odisha","Construction of public libraries and reading rooms","WS/MP300/2024-2025/157078","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","18-Dec-2025","EMF","Payment Success","323"
"67939","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18107/2025-2026/261266","RATLAM(District Collector Ratlam_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","15-May-2026","PUNNIYAKHIDI","Payment Success","150000"
